month,stateCode,incidentType,break_Frequency,PRECTOTCORR
10,VT,Flood,1,3.3136866359447006
6,VT,Flood,0,2.9331607142857146
9,NH,Flood,0,4.060444444444444
12,PA,Flood,5,2.520603345280765
8,RI,Hurricane,0,3.5745161290322582
8,NY,Hurricane,11,4.21321468298109
9,MA,Hurricane,0,4.567902777777777
9,ME,Hurricane,2,3.5818290598290594
9,ME,Flood,2,3.5818290598290594
9,ME,Flood,2,3.5818290598290594
8,NJ,Severe Storm,4,4.268971774193549
7,NY,Severe Storm,9,4.329471635150167
7,VT,Flood,0,4.949314516129033
7,VT,Flood,0,4.949314516129033
7,ME,Flood,2,3.892282878411911
4,RI,Fire,0,3.5944166666666666
3,ME,Severe Storm,4,2.3026881720430104
3,VT,Severe Storm,1,2.315264976958525
3,NY,Snowstorm,2,2.3741615684093436
3,NH,Severe Storm,0,2.3894220430107524
12,NY,Winter Storm,4,2.719822024471635
11,NY,Winter Storm,8,2.7814080459770114
5,RI,Snowstorm,0,2.585
4,MA,Snowstorm,1,3.6743194444444445
3,ME,Coastal Storm,4,2.3026881720430104
10,CT,Hurricane,4,3.9337903225806454
10,NY,Hurricane,4,3.5201501668520576
10,NH,Flood,0,3.586202956989247
9,NH,Severe Storm,0,4.060444444444444
9,VT,Flood,0,3.511821428571429
9,PA,Hurricane,1,3.794135802469136
9,NY,Hurricane,0,3.6176436781609196
9,NJ,Hurricane,1,4.558208333333334
9,NJ,Hurricane,1,4.558208333333334
9,NY,Hurricane,0,3.6176436781609196
8,VT,Hurricane,0,3.824648617511521
8,MA,Hurricane,3,3.1913037634408603
8,CT,Hurricane,4,3.404089861751152
4,NJ,Snowstorm,0,3.9208125
1,CT,Hurricane,2,2.688663594470046
12,NJ,Hurricane,1,2.993911290322581
10,NY,Hurricane,4,3.5201501668520576
8,CT,Hurricane,4,3.404089861751152
4,VT,Biological,0,3.2457261904761903
4,ME,Biological,3,3.370326923076923
4,NH,Biological,0,3.608791666666667
3,PA,Biological,2,2.4381660692951015
3,RI,Biological,0,2.9353225806451615
3,CT,Biological,5,2.90852534562212
3,MA,Biological,0,2.7804771505376347
3,NJ,Biological,3,2.7912701612903223
3,NY,Biological,2,2.3741615684093436
3,NY,Biological,2,2.3741615684093436
3,RI,Biological,0,2.9353225806451615
3,NY,Biological,2,2.3741615684093436
3,ME,Biological,4,2.3026881720430104
3,MA,Biological,0,2.7804771505376347
3,MA,Biological,0,2.7804771505376347
3,NJ,Biological,3,2.7912701612903223
3,NH,Biological,0,2.3894220430107524
3,ME,Biological,4,2.3026881720430104
3,PA,Biological,2,2.4381660692951015
3,RI,Biological,0,2.9353225806451615
3,CT,Biological,5,2.90852534562212
3,MA,Biological,0,2.7804771505376347
3,VT,Biological,1,2.315264976958525
3,NY,Biological,2,2.3741615684093436
1,VT,Severe Storm,0,2.0401209677419354
12,NY,Severe Storm,4,2.719822024471635
8,NH,Severe Storm,0,3.7453360215053766
6,VT,Flood,0,2.9331607142857146
12,CT,Severe Storm,3,3.5478187403993857
11,PA,Severe Storm,1,2.5235925925925926
10,NY,Flood,4,3.5201501668520576
8,CT,Tornado,4,3.404089861751152
7,VT,Severe Storm,0,4.949314516129033
7,MA,Snowstorm,1,4.1591263440860216
6,MA,Severe Storm,0,2.6120972222222223
6,NH,Snowstorm,0,3.0057500000000004
6,NH,Coastal Storm,0,3.0057500000000004
6,NJ,Severe Storm,3,2.9541458333333335
5,ME,Coastal Storm,1,2.4071608767576507
1,VT,Severe Storm,0,2.0401209677419354
1,NH,Severe Storm,5,2.382412634408602
1,ME,Severe Storm,3,2.741677005789909
11,NY,Flood,8,2.7814080459770114
8,VT,Severe Storm,0,3.824648617511521
8,NH,Severe Storm,0,3.7453360215053766
7,NY,Snowstorm,9,4.329471635150167
6,NH,Severe Storm,0,3.0057500000000004
4,NH,Fire,0,3.608791666666667
3,PA,Snowstorm,2,2.4381660692951015
3,NJ,Severe Storm,3,2.7912701612903223
7,VT,Severe Storm,0,4.949314516129033
7,NJ,Severe Storm,1,4.501522177419355
4,MA,Severe Storm,1,3.6743194444444445
4,CT,Severe Storm,2,3.745964285714286
4,RI,Severe Storm,0,3.5944166666666666
3,NH,Severe Storm,0,2.3894220430107524
3,ME,Snowstorm,4,2.3026881720430104
2,VT,Severe Storm,0,2.285069532237674
12,NY,Snowstorm,4,2.719822024471635
7,NY,Severe Storm,9,4.329471635150167
6,VT,Flood,0,2.9331607142857146
2,PA,Severe Ice Storm,5,2.5941232382825308
1,VT,Severe Ice Storm,0,2.0401209677419354
10,PA,Severe Storm,3,2.920200119474313
8,NH,Severe Storm,0,3.7453360215053766
8,VT,Flood,0,3.824648617511521
7,NY,Flood,9,4.329471635150167
4,NY,Severe Storm,4,3.22478591954023
4,MA,Severe Storm,1,3.6743194444444445
4,MA,Terrorist,1,3.6743194444444445
3,ME,Severe Storm,4,2.3026881720430104
3,RI,Severe Storm,0,2.9353225806451615
3,CT,Severe Storm,5,2.90852534562212
3,NH,Severe Storm,0,2.3894220430107524
2,CT,Severe Storm,2,2.8265233881163083
1,PA,Hurricane,4,2.062319295101553
12,MA,Hurricane,3,3.868387096774194
11,NH,Hurricane,1,2.8650277777777777
11,RI,Hurricane,0,2.9617500000000003
10,CT,Hurricane,4,3.9337903225806454
10,NJ,Hurricane,1,4.030957661290323
10,NY,Hurricane,4,3.5201501668520576
10,NH,Hurricane,0,3.586202956989247
10,RI,Hurricane,0,4.156209677419355
10,PA,Hurricane,3,2.920200119474313
10,NJ,Hurricane,1,4.030957661290323
10,CT,Hurricane,4,3.9337903225806454
10,MA,Hurricane,1,4.444301075268817
10,NY,Hurricane,4,3.5201501668520576
7,NJ,Severe Storm,1,4.501522177419355
6,VT,Severe Storm,0,2.9331607142857146
6,NH,Severe Storm,0,3.0057500000000004
1,MA,Severe Storm,2,2.9816196236559143
12,NH,Severe Storm,0,3.477562724014337
11,NJ,Severe Storm,0,3.1264374999999998
11,CT,Severe Storm,2,2.8764404761904765
11,VT,Severe Storm,0,2.803869047619048
11,NH,Severe Storm,1,2.8650277777777777
11,MA,Severe Storm,2,2.7171805555555557
10,CT,Severe Storm,4,3.9337903225806454
10,NJ,Severe Storm,1,4.030957661290323
9,NJ,Severe Storm,1,4.558208333333334
9,ME,Hurricane,2,3.5818290598290594
9,NY,Severe Storm,0,3.6176436781609196
9,PA,Flood,1,3.794135802469136
9,NY,Severe Storm,0,3.6176436781609196
9,PA,Flood,1,3.794135802469136
9,MA,Hurricane,0,4.567902777777777
9,RI,Hurricane,0,5.1539166666666665
9,PA,Hurricane,1,3.794135802469136
9,NH,Hurricane,0,4.060444444444444
9,CT,Hurricane,1,5.553607142857143
9,VT,Hurricane,0,3.511821428571429
8,NJ,Hurricane,4,4.268971774193549
8,NY,Hurricane,11,4.21321468298109
8,PA,Hurricane,2,4.520413679808841
8,VT,Hurricane,0,3.824648617511521
8,RI,Hurricane,0,3.5745161290322582
8,NH,Hurricane,0,3.7453360215053766
8,NJ,Hurricane,4,4.268971774193549
8,CT,Hurricane,4,3.404089861751152
8,MA,Hurricane,3,3.1913037634408603
8,NY,Hurricane,11,4.21321468298109
7,NH,Flood,0,5.121229838709677
7,PA,Severe Storm,6,3.588561827956989
7,VT,Severe Storm,0,4.949314516129033
6,VT,Severe Storm,0,2.9331607142857146
6,MA,Tornado,0,2.6120972222222223
6,NY,Flood,2,2.7472112068965515
3,MA,Snowstorm,0,2.7804771505376347
3,CT,Snowstorm,5,2.90852534562212
2,NY,Severe Storm,4,2.4344690265486726
2,NJ,Snowstorm,2,2.7639491150442477
2,ME,Severe Storm,2,2.6838824597231676
12,VT,Severe Storm,0,2.7313594470046083
10,NY,Tornado,4,3.5201501668520576
9,MA,Hurricane,0,4.567902777777777
7,ME,Severe Storm,2,3.892282878411911
5,NH,Severe Storm,2,2.3079233870967744
5,MA,Other,0,2.43625
4,CT,Severe Storm,2,3.745964285714286
4,NY,Severe Storm,4,3.22478591954023
4,PA,Snowstorm,3,2.9729984567901235
4,NJ,Severe Storm,0,3.9208125
3,RI,Severe Storm,0,2.9353225806451615
3,MA,Severe Storm,0,2.7804771505376347
3,RI,Severe Storm,0,2.9353225806451615
3,NH,Severe Storm,0,2.3894220430107524
3,ME,Severe Storm,4,2.3026881720430104
3,NJ,Snowstorm,3,2.7912701612903223
2,NJ,Snowstorm,2,2.7639491150442477
12,NY,Severe Storm,4,2.719822024471635
12,NJ,Severe Storm,1,2.993911290322581
9,NY,Severe Storm,0,3.6176436781609196
7,ME,Severe Storm,2,3.892282878411911
3,NY,Severe Storm,2,2.3741615684093436
1,VT,Severe Ice Storm,0,2.0401209677419354
1,ME,Severe Storm,3,2.741677005789909
1,MA,Severe Ice Storm,2,2.9816196236559143
1,NH,Severe Ice Storm,5,2.382412634408602
12,NY,Severe Storm,4,2.719822024471635
12,ME,Severe Storm,1,3.892081610146126
12,NH,Severe Storm,0,3.477562724014337
12,MA,Severe Storm,3,3.868387096774194
10,NH,Severe Storm,0,3.586202956989247
9,VT,Severe Storm,0,3.511821428571429
9,ME,Severe Storm,2,3.5818290598290594
9,NH,Severe Storm,0,4.060444444444444
8,VT,Severe Storm,0,3.824648617511521
8,NH,Severe Storm,0,3.7453360215053766
7,VT,Severe Storm,0,4.949314516129033
5,ME,Flood,1,2.4071608767576507
8,NY,Severe Storm,11,4.21321468298109
8,ME,Severe Storm,4,3.771801075268817
8,VT,Severe Storm,0,3.824648617511521
7,NY,Severe Storm,9,4.329471635150167
5,RI,Severe Storm,0,2.585
5,MA,Severe Storm,0,2.43625
5,NJ,Fire,0,2.5225604838709677
5,CT,Severe Storm,0,2.6496658986175112
5,VT,Severe Storm,0,2.1237500000000002
4,NH,Severe Storm,0,3.608791666666667
4,NJ,Severe Storm,0,3.9208125
4,ME,Severe Storm,3,3.370326923076923
4,NY,Severe Storm,4,3.22478591954023
4,ME,Flood,3,3.370326923076923
2,NY,Snowstorm,4,2.4344690265486726
2,PA,Severe Storm,5,2.5941232382825308
12,NY,Severe Storm,4,2.719822024471635
10,NY,Severe Storm,4,3.5201501668520576
10,NY,Snowstorm,4,3.5201501668520576
7,NJ,Severe Storm,1,4.501522177419355
7,NY,Severe Storm,9,4.329471635150167
6,PA,Severe Storm,2,2.8135555555555554
5,ME,Severe Storm,1,2.4071608767576507
5,NH,Severe Storm,2,2.3079233870967744
5,MA,Severe Storm,0,2.43625
5,CT,Snowstorm,0,2.6496658986175112
2,ME,Snowstorm,2,2.6838824597231676
12,CT,Severe Storm,3,3.5478187403993857
11,MA,Severe Storm,2,2.7171805555555557
10,NH,Severe Storm,0,3.586202956989247
10,MA,Severe Storm,1,4.444301075268817
9,NY,Hurricane,0,3.6176436781609196
9,NH,Hurricane,0,4.060444444444444
9,NJ,Hurricane,1,4.558208333333334
9,ME,Hurricane,2,3.5818290598290594
9,RI,Hurricane,0,5.1539166666666665
9,CT,Hurricane,1,5.553607142857143
9,MA,Hurricane,0,4.567902777777777
9,PA,Hurricane,1,3.794135802469136
6,ME,Severe Storm,2,3.1273226495726494
4,NH,Snowstorm,0,3.608791666666667
4,ME,Snowstorm,3,3.370326923076923
4,NY,Severe Storm,4,3.22478591954023
4,NJ,Severe Storm,0,3.9208125
4,PA,Severe Storm,3,2.9729984567901235
4,ME,Snowstorm,3,3.370326923076923
3,NH,Snowstorm,0,2.3894220430107524
3,NH,Snowstorm,0,2.3894220430107524
3,ME,Snowstorm,4,2.3026881720430104
3,ME,Snowstorm,4,2.3026881720430104
2,RI,Snowstorm,1,2.99858407079646
2,MA,Snowstorm,2,3.098325958702065
2,CT,Snowstorm,2,2.8265233881163083
10,NY,Severe Storm,4,3.5201501668520576
10,NY,Severe Storm,4,3.5201501668520576
10,NJ,Severe Storm,1,4.030957661290323
9,VT,Severe Storm,0,3.511821428571429
9,PA,Hurricane,1,3.794135802469136
9,PA,Severe Storm,1,3.794135802469136
8,PA,Severe Storm,2,4.520413679808841
8,NY,Severe Storm,11,4.21321468298109
7,NJ,Severe Storm,1,4.501522177419355
4,MA,Flood,1,3.6743194444444445
3,NY,Snowstorm,2,2.3741615684093436
2,ME,Severe Storm,2,2.6838824597231676
1,ME,Snowstorm,3,2.741677005789909
1,NH,Snowstorm,5,2.382412634408602
1,CT,Snowstorm,2,2.688663594470046
1,MA,Snowstorm,2,2.9816196236559143
1,ME,Snowstorm,3,2.741677005789909
12,MA,Fire,3,3.868387096774194
9,PA,Severe Storm,1,3.794135802469136
9,NJ,Other,1,4.558208333333334
9,NH,Severe Storm,0,4.060444444444444
9,VT,Severe Storm,0,3.511821428571429
8,NY,Severe Storm,11,4.21321468298109
8,NY,Other,11,4.21321468298109
8,PA,Severe Storm,2,4.520413679808841
5,ME,Freezing,1,2.4071608767576507
5,NY,Severe Ice Storm,3,2.0689613459399334
3,NY,Snowstorm,2,2.3741615684093436
3,RI,Snowstorm,0,2.9353225806451615
3,NJ,Snowstorm,3,2.7912701612903223
3,PA,Severe Storm,2,2.4381660692951015
3,NH,Snowstorm,0,2.3894220430107524
3,CT,Snowstorm,5,2.90852534562212
3,MA,Snowstorm,0,2.7804771505376347
3,ME,Snowstorm,4,2.3026881720430104
2,NY,Snowstorm,4,2.4344690265486726
7,VT,Severe Storm,0,4.949314516129033
6,NJ,Fire,3,2.9541458333333335
5,NY,Earthquake,3,2.0689613459399334
3,NY,Snowstorm,2,2.3741615684093436
12,NY,Snowstorm,4,2.719822024471635
9,NJ,Fire,1,4.558208333333334
9,NY,Fire,0,3.6176436781609196
6,PA,Severe Storm,2,2.8135555555555554
5,ME,Severe Storm,1,2.4071608767576507
4,VT,Snowstorm,0,3.2457261904761903
4,MA,Severe Storm,1,3.6743194444444445
3,NH,Snowstorm,0,2.3894220430107524
3,MA,Snowstorm,0,2.7804771505376347
3,ME,Snowstorm,4,2.3026881720430104
1,VT,Severe Storm,0,2.0401209677419354
12,NY,Snowstorm,4,2.719822024471635
11,NJ,Other,0,3.1264374999999998
10,NY,Other,4,3.5201501668520576
8,NJ,Severe Storm,4,4.268971774193549
7,VT,Severe Storm,0,4.949314516129033
7,NY,Severe Storm,9,4.329471635150167
4,ME,Severe Storm,3,3.370326923076923
11,ME,Hurricane,3,3.3801431623931624
11,VT,Severe Storm,0,2.803869047619048
10,NH,Hurricane,0,3.586202956989247
9,CT,Hurricane,1,5.553607142857143
9,PA,Flood,1,3.794135802469136
9,NY,Hurricane,0,3.6176436781609196
9,PA,Hurricane,1,3.794135802469136
9,NJ,Hurricane,1,4.558208333333334
9,NY,Hurricane,0,3.6176436781609196
9,NJ,Hurricane,1,4.558208333333334
9,PA,Severe Storm,1,3.794135802469136
8,NY,Fire,11,4.21321468298109
3,NY,Snowstorm,2,2.3741615684093436
1,ME,Severe Storm,3,2.741677005789909
1,NY,Snowstorm,2,2.164575917686318
9,NY,Severe Storm,0,3.6176436781609196
7,NY,Severe Storm,9,4.329471635150167
7,ME,Severe Storm,2,3.892282878411911
7,NH,Severe Storm,0,5.121229838709677
6,VT,Severe Storm,0,2.9331607142857146
6,MA,Flood,0,2.6120972222222223
6,NY,Severe Storm,2,2.7472112068965515
6,PA,Severe Storm,2,2.8135555555555554
3,NJ,Coastal Storm,3,2.7912701612903223
1,VT,Severe Storm,0,2.0401209677419354
1,NH,Severe Storm,5,2.382412634408602
1,ME,Severe Storm,3,2.741677005789909
1,NY,Snowstorm,2,2.164575917686318
9,NJ,Severe Storm,1,4.558208333333334
7,VT,Flood,0,4.949314516129033
12,PA,Flood,5,2.520603345280765
12,NY,Severe Storm,4,2.719822024471635
11,RI,Other,0,2.9617500000000003
11,NY,Severe Storm,8,2.7814080459770114
11,NJ,Severe Storm,0,3.1264374999999998
10,NH,Flood,0,3.586202956989247
10,ME,Flood,3,4.565268817204301
10,MA,Flood,1,4.444301075268817
10,ME,Severe Storm,3,4.565268817204301
10,MA,Flood,1,4.444301075268817
9,PA,Flood,1,3.794135802469136
7,PA,Flood,6,3.588561827956989
6,VT,Flood,0,2.9331607142857146
6,PA,Flood,2,2.8135555555555554
5,ME,Severe Storm,1,2.4071608767576507
3,ME,Severe Storm,4,2.3026881720430104
2,VT,Flood,0,2.285069532237674
1,NY,Flood,2,2.164575917686318
1,CT,Snowstorm,2,2.688663594470046
1,RI,Snowstorm,0,2.929596774193548
1,MA,Snowstorm,2,2.9816196236559143
1,PA,Flood,4,2.062319295101553
1,NJ,Snowstorm,0,2.400907258064516
1,PA,Snowstorm,4,2.062319295101553
1,NY,Snowstorm,2,2.164575917686318
1,NH,Flood,5,2.382412634408602
9,MA,Fire,0,4.567902777777777
8,NY,Fire,11,4.21321468298109
8,VT,Severe Storm,0,3.824648617511521
5,ME,Flood,1,2.4071608767576507
3,PA,Severe Storm,2,2.4381660692951015
5,VT,Flood,0,2.1237500000000002
5,ME,Flood,1,2.4071608767576507
4,NY,Human Cause,4,3.22478591954023
3,NY,Snowstorm,2,2.3741615684093436
3,NJ,Snowstorm,3,2.7912701612903223
3,PA,Snowstorm,2,2.4381660692951015
3,MA,Snowstorm,0,2.7804771505376347
3,RI,Snowstorm,0,2.9353225806451615
3,NH,Snowstorm,0,2.3894220430107524
3,CT,Snowstorm,5,2.90852534562212
3,ME,Snowstorm,4,2.3026881720430104
12,MA,Coastal Storm,3,3.868387096774194
12,NY,Flood,4,2.719822024471635
12,NJ,Flood,1,2.993911290322581
12,CT,Flood,3,3.5478187403993857
9,RI,Toxic Substances,0,5.1539166666666665
5,ME,Fire,1,2.4071608767576507
3,ME,Flood,4,2.3026881720430104
3,VT,Flood,1,2.315264976958525
3,NJ,Severe Storm,3,2.7912701612903223
11,NH,Coastal Storm,1,2.8650277777777777
11,ME,Coastal Storm,3,3.3801431623931624
11,MA,Coastal Storm,2,2.7171805555555557
9,NY,Hurricane,0,3.6176436781609196
9,NH,Hurricane,0,4.060444444444444
8,CT,Hurricane,4,3.404089861751152
8,ME,Hurricane,4,3.771801075268817
8,MA,Hurricane,3,3.1913037634408603
8,RI,Hurricane,0,3.5745161290322582
4,ME,Snowstorm,3,3.370326923076923
3,NY,Snowstorm,2,2.3741615684093436
8,NH,Flood,0,3.7453360215053766
7,VT,Flood,0,4.949314516129033
9,VT,Flood,0,3.511821428571429
7,CT,Tornado,0,4.759746543778802
6,ME,Flood,2,3.1273226495726494
11,NY,Snowstorm,8,2.7814080459770114
5,NY,Flood,3,2.0689613459399334
4,MA,Flood,1,3.6743194444444445
4,NH,Flood,0,3.608791666666667
4,ME,Flood,3,3.370326923076923
8,NH,Flood,0,3.7453360215053766
6,PA,Flood,2,2.8135555555555554
11,PA,Flood,1,2.5235925925925926
10,MA,Hurricane,1,4.444301075268817
10,NY,Hurricane,4,3.5201501668520576
10,NJ,Hurricane,1,4.030957661290323
10,RI,Hurricane,0,4.156209677419355
10,CT,Hurricane,4,3.9337903225806454
10,PA,Hurricane,3,2.920200119474313
6,PA,Tornado,2,2.8135555555555554
3,NY,Snowstorm,2,2.3741615684093436
3,NY,Flood,2,2.3741615684093436
9,NY,Flood,0,3.6176436781609196
8,PA,Flood,2,4.520413679808841
6,VT,Flood,0,2.9331607142857146
6,CT,Flood,1,2.1929285714285713
4,NY,Flood,4,3.22478591954023
4,NJ,Flood,0,3.9208125
6,CT,Flood,1,2.1929285714285713
12,MA,Fire,3,3.868387096774194
6,PA,Flood,2,2.8135555555555554
10,NJ,Drought,1,4.030957661290323
9,ME,Fishing Losses,2,3.5818290598290594
8,PA,Flood,2,4.520413679808841
6,PA,Tornado,2,2.8135555555555554
5,NY,Toxic Substances,3,2.0689613459399334
10,CT,Tornado,4,3.9337903225806454
3,NH,Flood,0,2.3894220430107524
8,NY,Toxic Substances,11,4.21321468298109
2,ME,Flood,2,2.6838824597231676
2,NH,Flood,1,2.5651401179941002
2,RI,Snowstorm,1,2.99858407079646
2,MA,Flood,2,3.098325958702065
2,CT,Snowstorm,2,2.8265233881163083
2,MA,Snowstorm,2,3.098325958702065
2,RI,Snowstorm,1,2.99858407079646
9,VT,Drought,0,3.511821428571429
7,ME,Fire,2,3.892282878411911
7,PA,Flood,6,3.588561827956989
2,NJ,Severe Ice Storm,2,2.7639491150442477
2,NY,Snowstorm,4,2.4344690265486726
1,NY,Snowstorm,2,2.164575917686318
1,PA,Snowstorm,4,2.062319295101553
10,PA,Flood,3,2.920200119474313
9,NY,Hurricane,0,3.6176436781609196
8,NJ,Flood,4,4.268971774193549
8,VT,Flood,0,3.824648617511521
7,NY,Flood,9,4.329471635150167
7,PA,Flood,6,3.588561827956989
6,NY,Flood,2,2.7472112068965515
3,NY,Severe Ice Storm,2,2.3741615684093436
10,NY,Flood,4,3.5201501668520576
9,PA,Flood,1,3.794135802469136
7,NJ,Flood,1,4.501522177419355
12,NJ,Coastal Storm,1,2.993911290322581
11,NY,Flood,8,2.7814080459770114
7,NY,Flood,9,4.329471635150167
1,NH,Flood,5,2.382412634408602
1,ME,Flood,3,2.741677005789909
10,MA,Fire,1,4.444301075268817
8,NJ,Flood,4,4.268971774193549
7,NY,Flood,9,4.329471635150167
7,PA,Flood,6,3.588561827956989
7,NH,Flood,0,5.121229838709677
7,VT,Flood,0,4.949314516129033
5,ME,Flood,1,2.4071608767576507
3,NY,Flood,2,2.3741615684093436
9,MA,Fishing Losses,0,4.567902777777777
9,ME,Fishing Losses,2,3.5818290598290594
9,PA,Flood,1,3.794135802469136
6,PA,Flood,2,2.8135555555555554
6,NY,Flood,2,2.7472112068965515
3,NH,Coastal Storm,0,2.3894220430107524
3,ME,Flood,4,2.3026881720430104
3,MA,Flood,0,2.7804771505376347
9,PA,Flood,1,3.794135802469136
9,NY,Flood,0,3.6176436781609196
9,NJ,Flood,1,4.558208333333334
7,NY,Flood,9,4.329471635150167
2,ME,Flood,2,2.6838824597231676
8,VT,Flood,0,3.824648617511521
8,NY,Flood,11,4.21321468298109
8,PA,Flood,2,4.520413679808841
6,NJ,Flood,3,2.9541458333333335
10,NY,Flood,4,3.5201501668520576
8,PA,Drought,2,4.520413679808841
8,NJ,Drought,4,4.268971774193549
8,NY,Drought,11,4.21321468298109
3,VT,Flood,1,2.315264976958525
11,VT,Drought,0,2.803869047619048
8,NY,Flood,11,4.21321468298109
3,NY,Flood,2,2.3741615684093436
3,NJ,Flood,3,2.7912701612903223
1,PA,Flood,4,2.062319295101553
8,PA,Severe Storm,2,4.520413679808841
5,PA,Severe Storm,10,2.534462365591398
3,NY,Flood,2,2.3741615684093436
3,PA,Flood,2,2.4381660692951015
8,NY,Hurricane,11,4.21321468298109
8,MA,Hurricane,3,3.1913037634408603
8,CT,Hurricane,4,3.404089861751152
8,NJ,Hurricane,4,4.268971774193549
8,PA,Flood,2,4.520413679808841
8,RI,Hurricane,0,3.5745161290322582
10,NY,Hurricane,4,3.5201501668520576
9,CT,Hurricane,1,5.553607142857143
9,ME,Hurricane,2,3.5818290598290594
9,RI,Hurricane,0,5.1539166666666665
9,MA,Hurricane,0,4.567902777777777
7,NH,Fire,0,5.121229838709677
6,MA,Tornado,0,2.6120972222222223
