month,state,disaster,break_rate,precipitation
10,VT,Flood,0,2
6,VT,Flood,0,1
9,NH,Flood,0,3
12,PA,Flood,2,0
8,RI,Hurricane,0,2
8,NY,Hurricane,2,3
9,MA,Hurricane,0,3
9,ME,Hurricane,0,2
9,ME,Flood,0,2
9,ME,Flood,0,2
8,NJ,Severe Storm,2,3
7,NY,Severe Storm,2,3
7,VT,Flood,0,3
7,VT,Flood,0,3
7,ME,Flood,0,3
4,RI,Fire,0,2
3,ME,Severe Storm,2,0
3,VT,Severe Storm,0,0
3,NY,Snowstorm,0,0
3,NH,Severe Storm,0,0
12,NY,Winter Storm,2,1
11,NY,Winter Storm,2,1
5,RI,Snowstorm,0,0
4,MA,Snowstorm,0,2
3,ME,Coastal Storm,2,0
10,CT,Hurricane,2,3
10,NY,Hurricane,2,2
10,NH,Flood,0,2
9,NH,Severe Storm,0,3
9,VT,Flood,0,2
9,PA,Hurricane,0,2
9,NY,Hurricane,0,2
9,NJ,Hurricane,0,3
9,NJ,Hurricane,0,3
9,NY,Hurricane,0,2
8,VT,Hurricane,0,2
8,MA,Hurricane,1,1
8,CT,Hurricane,2,2
4,NJ,Snowstorm,0,3
1,CT,Hurricane,0,0
12,NJ,Hurricane,0,1
10,NY,Hurricane,2,2
8,CT,Hurricane,2,2
4,VT,Biological,0,2
4,ME,Biological,1,2
4,NH,Biological,0,2
3,PA,Biological,0,0
3,RI,Biological,0,1
3,CT,Biological,2,1
3,MA,Biological,0,1
3,NJ,Biological,1,1
3,NY,Biological,0,0
3,NY,Biological,0,0
3,RI,Biological,0,1
3,NY,Biological,0,0
3,ME,Biological,2,0
3,MA,Biological,0,1
3,MA,Biological,0,1
3,NJ,Biological,1,1
3,NH,Biological,0,0
3,ME,Biological,2,0
3,PA,Biological,0,0
3,RI,Biological,0,1
3,CT,Biological,2,1
3,MA,Biological,0,1
3,VT,Biological,0,0
3,NY,Biological,0,0
1,VT,Severe Storm,0,0
12,NY,Severe Storm,2,1
8,NH,Severe Storm,0,2
6,VT,Flood,0,1
12,CT,Severe Storm,1,2
11,PA,Severe Storm,0,0
10,NY,Flood,2,2
8,CT,Tornado,2,2
7,VT,Severe Storm,0,3
7,MA,Snowstorm,0,3
6,MA,Severe Storm,0,0
6,NH,Snowstorm,0,1
6,NH,Coastal Storm,0,1
6,NJ,Severe Storm,1,1
5,ME,Coastal Storm,0,0
1,VT,Severe Storm,0,0
1,NH,Severe Storm,2,0
1,ME,Severe Storm,1,1
11,NY,Flood,2,1
8,VT,Severe Storm,0,2
8,NH,Severe Storm,0,2
7,NY,Snowstorm,2,3
6,NH,Severe Storm,0,1
4,NH,Fire,0,2
3,PA,Snowstorm,0,0
3,NJ,Severe Storm,1,1
7,VT,Severe Storm,0,3
7,NJ,Severe Storm,0,3
4,MA,Severe Storm,0,2
4,CT,Severe Storm,0,2
4,RI,Severe Storm,0,2
3,NH,Severe Storm,0,0
3,ME,Snowstorm,2,0
2,VT,Severe Storm,0,0
12,NY,Snowstorm,2,1
7,NY,Severe Storm,2,3
6,VT,Flood,0,1
2,PA,Severe Ice Storm,2,0
1,VT,Severe Ice Storm,0,0
10,PA,Severe Storm,1,1
8,NH,Severe Storm,0,2
8,VT,Flood,0,2
7,NY,Flood,2,3
4,NY,Severe Storm,2,1
4,MA,Severe Storm,0,2
4,MA,Terrorist,0,2
3,ME,Severe Storm,2,0
3,RI,Severe Storm,0,1
3,CT,Severe Storm,2,1
3,NH,Severe Storm,0,0
2,CT,Severe Storm,0,1
1,PA,Hurricane,2,0
12,MA,Hurricane,1,3
11,NH,Hurricane,0,1
11,RI,Hurricane,0,1
10,CT,Hurricane,2,3
10,NJ,Hurricane,0,3
10,NY,Hurricane,2,2
10,NH,Hurricane,0,2
10,RI,Hurricane,0,3
10,PA,Hurricane,1,1
10,NJ,Hurricane,0,3
10,CT,Hurricane,2,3
10,MA,Hurricane,0,3
10,NY,Hurricane,2,2
7,NJ,Severe Storm,0,3
6,VT,Severe Storm,0,1
6,NH,Severe Storm,0,1
1,MA,Severe Storm,0,1
12,NH,Severe Storm,0,2
11,NJ,Severe Storm,0,1
11,CT,Severe Storm,0,1
11,VT,Severe Storm,0,1
11,NH,Severe Storm,0,1
11,MA,Severe Storm,0,0
10,CT,Severe Storm,2,3
10,NJ,Severe Storm,0,3
9,NJ,Severe Storm,0,3
9,ME,Hurricane,0,2
9,NY,Severe Storm,0,2
9,PA,Flood,0,2
9,NY,Severe Storm,0,2
9,PA,Flood,0,2
9,MA,Hurricane,0,3
9,RI,Hurricane,0,3
9,PA,Hurricane,0,2
9,NH,Hurricane,0,3
9,CT,Hurricane,0,3
9,VT,Hurricane,0,2
8,NJ,Hurricane,2,3
8,NY,Hurricane,2,3
8,PA,Hurricane,0,3
8,VT,Hurricane,0,2
8,RI,Hurricane,0,2
8,NH,Hurricane,0,2
8,NJ,Hurricane,2,3
8,CT,Hurricane,2,2
8,MA,Hurricane,1,1
8,NY,Hurricane,2,3
7,NH,Flood,0,3
7,PA,Severe Storm,2,2
7,VT,Severe Storm,0,3
6,VT,Severe Storm,0,1
6,MA,Tornado,0,0
6,NY,Flood,0,1
3,MA,Snowstorm,0,1
3,CT,Snowstorm,2,1
2,NY,Severe Storm,2,0
2,NJ,Snowstorm,0,1
2,ME,Severe Storm,0,0
12,VT,Severe Storm,0,1
10,NY,Tornado,2,2
9,MA,Hurricane,0,3
7,ME,Severe Storm,0,3
5,NH,Severe Storm,0,0
5,MA,Other,0,0
4,CT,Severe Storm,0,2
4,NY,Severe Storm,2,1
4,PA,Snowstorm,1,1
4,NJ,Severe Storm,0,3
3,RI,Severe Storm,0,1
3,MA,Severe Storm,0,1
3,RI,Severe Storm,0,1
3,NH,Severe Storm,0,0
3,ME,Severe Storm,2,0
3,NJ,Snowstorm,1,1
2,NJ,Snowstorm,0,1
12,NY,Severe Storm,2,1
12,NJ,Severe Storm,0,1
9,NY,Severe Storm,0,2
7,ME,Severe Storm,0,3
3,NY,Severe Storm,0,0
1,VT,Severe Ice Storm,0,0
1,ME,Severe Storm,1,1
1,MA,Severe Ice Storm,0,1
1,NH,Severe Ice Storm,2,0
12,NY,Severe Storm,2,1
12,ME,Severe Storm,0,3
12,NH,Severe Storm,0,2
12,MA,Severe Storm,1,3
10,NH,Severe Storm,0,2
9,VT,Severe Storm,0,2
9,ME,Severe Storm,0,2
9,NH,Severe Storm,0,3
8,VT,Severe Storm,0,2
8,NH,Severe Storm,0,2
7,VT,Severe Storm,0,3
5,ME,Flood,0,0
8,NY,Severe Storm,2,3
8,ME,Severe Storm,2,2
8,VT,Severe Storm,0,2
7,NY,Severe Storm,2,3
5,RI,Severe Storm,0,0
5,MA,Severe Storm,0,0
5,NJ,Fire,0,0
5,CT,Severe Storm,0,0
5,VT,Severe Storm,0,0
4,NH,Severe Storm,0,2
4,NJ,Severe Storm,0,3
4,ME,Severe Storm,1,2
4,NY,Severe Storm,2,1
4,ME,Flood,1,2
2,NY,Snowstorm,2,0
2,PA,Severe Storm,2,0
12,NY,Severe Storm,2,1
10,NY,Severe Storm,2,2
10,NY,Snowstorm,2,2
7,NJ,Severe Storm,0,3
7,NY,Severe Storm,2,3
6,PA,Severe Storm,0,1
5,ME,Severe Storm,0,0
5,NH,Severe Storm,0,0
5,MA,Severe Storm,0,0
5,CT,Snowstorm,0,0
2,ME,Snowstorm,0,0
12,CT,Severe Storm,1,2
11,MA,Severe Storm,0,0
10,NH,Severe Storm,0,2
10,MA,Severe Storm,0,3
9,NY,Hurricane,0,2
9,NH,Hurricane,0,3
9,NJ,Hurricane,0,3
9,ME,Hurricane,0,2
9,RI,Hurricane,0,3
9,CT,Hurricane,0,3
9,MA,Hurricane,0,3
9,PA,Hurricane,0,2
6,ME,Severe Storm,0,1
4,NH,Snowstorm,0,2
4,ME,Snowstorm,1,2
4,NY,Severe Storm,2,1
4,NJ,Severe Storm,0,3
4,PA,Severe Storm,1,1
4,ME,Snowstorm,1,2
3,NH,Snowstorm,0,0
3,NH,Snowstorm,0,0
3,ME,Snowstorm,2,0
3,ME,Snowstorm,2,0
2,RI,Snowstorm,0,1
2,MA,Snowstorm,0,1
2,CT,Snowstorm,0,1
10,NY,Severe Storm,2,2
10,NY,Severe Storm,2,2
10,NJ,Severe Storm,0,3
9,VT,Severe Storm,0,2
9,PA,Hurricane,0,2
9,PA,Severe Storm,0,2
8,PA,Severe Storm,0,3
8,NY,Severe Storm,2,3
7,NJ,Severe Storm,0,3
4,MA,Flood,0,2
3,NY,Snowstorm,0,0
2,ME,Severe Storm,0,0
1,ME,Snowstorm,1,1
1,NH,Snowstorm,2,0
1,CT,Snowstorm,0,0
1,MA,Snowstorm,0,1
1,ME,Snowstorm,1,1
12,MA,Fire,1,3
9,PA,Severe Storm,0,2
9,NJ,Other,0,3
9,NH,Severe Storm,0,3
9,VT,Severe Storm,0,2
8,NY,Severe Storm,2,3
8,NY,Other,2,3
8,PA,Severe Storm,0,3
5,ME,Freezing,0,0
5,NY,Severe Ice Storm,1,0
3,NY,Snowstorm,0,0
3,RI,Snowstorm,0,1
3,NJ,Snowstorm,1,1
3,PA,Severe Storm,0,0
3,NH,Snowstorm,0,0
3,CT,Snowstorm,2,1
3,MA,Snowstorm,0,1
3,ME,Snowstorm,2,0
2,NY,Snowstorm,2,0
7,VT,Severe Storm,0,3
6,NJ,Fire,1,1
5,NY,Earthquake,1,0
3,NY,Snowstorm,0,0
12,NY,Snowstorm,2,1
9,NJ,Fire,0,3
9,NY,Fire,0,2
6,PA,Severe Storm,0,1
5,ME,Severe Storm,0,0
4,VT,Snowstorm,0,2
4,MA,Severe Storm,0,2
3,NH,Snowstorm,0,0
3,MA,Snowstorm,0,1
3,ME,Snowstorm,2,0
1,VT,Severe Storm,0,0
12,NY,Snowstorm,2,1
11,NJ,Other,0,1
10,NY,Other,2,2
8,NJ,Severe Storm,2,3
7,VT,Severe Storm,0,3
7,NY,Severe Storm,2,3
4,ME,Severe Storm,1,2
11,ME,Hurricane,1,2
11,VT,Severe Storm,0,1
10,NH,Hurricane,0,2
9,CT,Hurricane,0,3
9,PA,Flood,0,2
9,NY,Hurricane,0,2
9,PA,Hurricane,0,2
9,NJ,Hurricane,0,3
9,NY,Hurricane,0,2
9,NJ,Hurricane,0,3
9,PA,Severe Storm,0,2
8,NY,Fire,2,3
3,NY,Snowstorm,0,0
1,ME,Severe Storm,1,1
1,NY,Snowstorm,0,0
9,NY,Severe Storm,0,2
7,NY,Severe Storm,2,3
7,ME,Severe Storm,0,3
7,NH,Severe Storm,0,3
6,VT,Severe Storm,0,1
6,MA,Flood,0,0
6,NY,Severe Storm,0,1
6,PA,Severe Storm,0,1
3,NJ,Coastal Storm,1,1
1,VT,Severe Storm,0,0
1,NH,Severe Storm,2,0
1,ME,Severe Storm,1,1
1,NY,Snowstorm,0,0
9,NJ,Severe Storm,0,3
7,VT,Flood,0,3
12,PA,Flood,2,0
12,NY,Severe Storm,2,1
11,RI,Other,0,1
11,NY,Severe Storm,2,1
11,NJ,Severe Storm,0,1
10,NH,Flood,0,2
10,ME,Flood,1,3
10,MA,Flood,0,3
10,ME,Severe Storm,1,3
10,MA,Flood,0,3
9,PA,Flood,0,2
7,PA,Flood,2,2
6,VT,Flood,0,1
6,PA,Flood,0,1
5,ME,Severe Storm,0,0
3,ME,Severe Storm,2,0
2,VT,Flood,0,0
1,NY,Flood,0,0
1,CT,Snowstorm,0,0
1,RI,Snowstorm,0,1
1,MA,Snowstorm,0,1
1,PA,Flood,2,0
1,NJ,Snowstorm,0,0
1,PA,Snowstorm,2,0
1,NY,Snowstorm,0,0
1,NH,Flood,2,0
9,MA,Fire,0,3
8,NY,Fire,2,3
8,VT,Severe Storm,0,2
5,ME,Flood,0,0
3,PA,Severe Storm,0,0
5,VT,Flood,0,0
5,ME,Flood,0,0
4,NY,Human Cause,2,1
3,NY,Snowstorm,0,0
3,NJ,Snowstorm,1,1
3,PA,Snowstorm,0,0
3,MA,Snowstorm,0,1
3,RI,Snowstorm,0,1
3,NH,Snowstorm,0,0
3,CT,Snowstorm,2,1
3,ME,Snowstorm,2,0
12,MA,Coastal Storm,1,3
12,NY,Flood,2,1
12,NJ,Flood,0,1
12,CT,Flood,1,2
9,RI,Toxic Substances,0,3
5,ME,Fire,0,0
3,ME,Flood,2,0
3,VT,Flood,0,0
3,NJ,Severe Storm,1,1
11,NH,Coastal Storm,0,1
11,ME,Coastal Storm,1,2
11,MA,Coastal Storm,0,0
9,NY,Hurricane,0,2
9,NH,Hurricane,0,3
8,CT,Hurricane,2,2
8,ME,Hurricane,2,2
8,MA,Hurricane,1,1
8,RI,Hurricane,0,2
4,ME,Snowstorm,1,2
3,NY,Snowstorm,0,0
8,NH,Flood,0,2
7,VT,Flood,0,3
9,VT,Flood,0,2
7,CT,Tornado,0,3
6,ME,Flood,0,1
11,NY,Snowstorm,2,1
5,NY,Flood,1,0
4,MA,Flood,0,2
4,NH,Flood,0,2
4,ME,Flood,1,2
8,NH,Flood,0,2
6,PA,Flood,0,1
11,PA,Flood,0,0
10,MA,Hurricane,0,3
10,NY,Hurricane,2,2
10,NJ,Hurricane,0,3
10,RI,Hurricane,0,3
10,CT,Hurricane,2,3
10,PA,Hurricane,1,1
6,PA,Tornado,0,1
3,NY,Snowstorm,0,0
3,NY,Flood,0,0
9,NY,Flood,0,2
8,PA,Flood,0,3
6,VT,Flood,0,1
6,CT,Flood,0,0
4,NY,Flood,2,1
4,NJ,Flood,0,3
6,CT,Flood,0,0
12,MA,Fire,1,3
6,PA,Flood,0,1
10,NJ,Drought,0,3
9,ME,Fishing Losses,0,2
8,PA,Flood,0,3
6,PA,Tornado,0,1
5,NY,Toxic Substances,1,0
10,CT,Tornado,2,3
3,NH,Flood,0,0
8,NY,Toxic Substances,2,3
2,ME,Flood,0,0
2,NH,Flood,0,0
2,RI,Snowstorm,0,1
2,MA,Flood,0,1
2,CT,Snowstorm,0,1
2,MA,Snowstorm,0,1
2,RI,Snowstorm,0,1
9,VT,Drought,0,2
7,ME,Fire,0,3
7,PA,Flood,2,2
2,NJ,Severe Ice Storm,0,1
2,NY,Snowstorm,2,0
1,NY,Snowstorm,0,0
1,PA,Snowstorm,2,0
10,PA,Flood,1,1
9,NY,Hurricane,0,2
8,NJ,Flood,2,3
8,VT,Flood,0,2
7,NY,Flood,2,3
7,PA,Flood,2,2
6,NY,Flood,0,1
3,NY,Severe Ice Storm,0,0
10,NY,Flood,2,2
9,PA,Flood,0,2
7,NJ,Flood,0,3
12,NJ,Coastal Storm,0,1
11,NY,Flood,2,1
7,NY,Flood,2,3
1,NH,Flood,2,0
1,ME,Flood,1,1
10,MA,Fire,0,3
8,NJ,Flood,2,3
7,NY,Flood,2,3
7,PA,Flood,2,2
7,NH,Flood,0,3
7,VT,Flood,0,3
5,ME,Flood,0,0
3,NY,Flood,0,0
9,MA,Fishing Losses,0,3
9,ME,Fishing Losses,0,2
9,PA,Flood,0,2
6,PA,Flood,0,1
6,NY,Flood,0,1
3,NH,Coastal Storm,0,0
3,ME,Flood,2,0
3,MA,Flood,0,1
9,PA,Flood,0,2
9,NY,Flood,0,2
9,NJ,Flood,0,3
7,NY,Flood,2,3
2,ME,Flood,0,0
8,VT,Flood,0,2
8,NY,Flood,2,3
8,PA,Flood,0,3
6,NJ,Flood,1,1
10,NY,Flood,2,2
8,PA,Drought,0,3
8,NJ,Drought,2,3
8,NY,Drought,2,3
3,VT,Flood,0,0
11,VT,Drought,0,1
8,NY,Flood,2,3
3,NY,Flood,0,0
3,NJ,Flood,1,1
1,PA,Flood,2,0
8,PA,Severe Storm,0,3
5,PA,Severe Storm,2,0
3,NY,Flood,0,0
3,PA,Flood,0,0
8,NY,Hurricane,2,3
8,MA,Hurricane,1,1
8,CT,Hurricane,2,2
8,NJ,Hurricane,2,3
8,PA,Flood,0,3
8,RI,Hurricane,0,2
10,NY,Hurricane,2,2
9,CT,Hurricane,0,3
9,ME,Hurricane,0,2
9,RI,Hurricane,0,3
9,MA,Hurricane,0,3
7,NH,Fire,0,3
6,MA,Tornado,0,0
